run_id,block_size,batch_size,bw_gbps,avg_lat_us,avg_prep_us,p99_prep_us,avg_post_us,p99_post_us,avg_tx_us,p99_tx_us
p01-64K-32c,65536,8,19.949127,3.3,51.8,58.0,57.9,139.0,39.7,97.0
p02-64K-128c,65536,32,38.043574,1.7,42.5,52.0,91.4,167.0,120.4,201.0
p03-64K-512c,65536,128,34.158612,1.9,121.5,170.0,406.1,631.0,514.6,2919.0
p04-256K-32c,262144,8,38.265924,6.9,34.2,35.0,91.9,145.0,124.7,198.0
p05-256K-128c,262144,32,55.404635,4.7,70.8,84.0,340.7,700.0,253.7,525.0
p06-256K-512c,262144,128,50.702010,5.2,134.8,219.0,1316.2,2176.0,1211.8,5514.0
p07-1M-32c,1048576,8,36.556647,28.7,48.8,55.0,101.8,227.0,773.7,3841.0
p08-1M-128c,1048576,32,29.539587,35.5,3615.2,7210.0,432.1,747.0,3690.3,11644.0
p09-1M-512c,1048576,128,32.137795,32.6,68.8,90.0,1237.1,1568.0,15343.9,19029.0
p10-4M-32c,4194304,8,13.167637,318.5,38.5,39.0,86.8,118.0,7658.1,17190.0
p11-4M-128c,4194304,32,75.244697,55.7,41.2,59.0,269.6,574.0,6566.0,6969.0
p12-16M-32c,16777216,8,30.788296,544.9,41.5,42.0,103.4,173.0,16612.0,18223.0
