grid,ntok,num_sms,median_p99,mean_p99,mean_p50,mean_p999,n
static,128,22,447.54,442.99,330.34,446.09,288
static,128,48,558.84,554.85,339.48,561.49,288
static,128,96,600.25,603.75,348.09,610.03,288
static,256,22,1135.92,1115.06,706.91,1121.81,288
static,256,48,1061.03,1037.17,626.63,1049.51,288
static,256,96,1149.69,1148.22,653.05,1162.12,288
static,384,22,1516.66,1427.46,908.36,1443.78,288
static,384,48,1537.32,1540.24,904.37,1558.82,288
static,384,96,1557.40,1550.80,903.40,1569.22,288
static,512,22,2009.60,1959.19,1217.83,1975.83,288
static,512,48,2053.30,2061.53,1184.62,2086.11,288
static,512,96,1972.65,1968.67,1159.60,1994.41,288
static,768,22,3329.95,3334.91,1961.40,3359.28,288
static,768,48,3120.63,3051.19,1788.73,3083.43,288
static,768,96,2856.22,2856.56,1710.15,2888.32,288
static,1024,22,4424.77,4386.09,2470.54,4432.61,288
static,1024,48,4194.99,4143.73,2546.65,4188.97,288
static,1024,96,3720.18,3739.81,2416.34,3784.23,288
adaptive,128,22,445.47,443.48,330.10,448.38,288
adaptive,256,22,1141.83,1122.91,698.95,1131.37,288
adaptive,384,22,1558.03,1493.75,931.48,1506.49,288
adaptive,512,48,2032.55,2040.43,1187.28,2062.03,288
adaptive,768,48,3089.76,3049.22,1790.92,3080.04,288
adaptive,1024,48,4176.57,4342.69,2517.12,4568.71,288
